,index,name,inchikey,formula,ionization,precursormz,rank
17,17,(water loss)ribonic acid,QXKAIJAYHKCRRA-YVZJFKFKSA-N,C17H40O5Si4,[M+H]+,437.20203,1
18,18,"2,6-diaminopimelic acid",GMKMEZVLHJARHF-WHFBIAKZSA-N,C13H30N2O4Si2,[M+H]+,335.18173,0
19,19,lipoic acid,AGBQKNBQESQNJD-SSDOTTSWSA-N,C11H22O2S2Si1,[M]+,278.0827,2
20,20,pipecolic acid,HXEACLLIILLPRG-YFKPBYRVSA-N,C9H19N1O2Si1,[M+H]+,202.12639,0
21,21,pipecolic acid,HXEACLLIILLPRG-YFKPBYRVSA-N,C12H27N1O2Si2,[M+H]+,274.16565,0
22,22,methylparaben,LXCFILQKKLGQFO-UHFFFAOYSA-N,C11H16O3Si1,[M+H]+,225.09462,0
23,23,indole-3-acetate,SEOVTRFCIGRIMH-UHFFFAOYSA-N,C16H25N1O2Si2,[M+H]+,320.14978,1
24,24,"3,4-dihydroxycinnamic acid",QAIPRVGONGVQAS-DUXPYHPUSA-N,C18H32O4Si3,[M+H]+,397.168,0
25,25,"3,4-dihydroxycinnamic acid",QAIPRVGONGVQAS-DUXPYHPUSA-N,C18H32O4Si3,[M+H]+,397.1683,0
26,26,5-hydroxymethyl-2-furoic acid,PCSKKIUURRTAEM-UHFFFAOYSA-N,C12H22O4Si2,[M+H]+,287.11307,0
27,27,gentisic acid,WXTMDXOMEHJXQO-UHFFFAOYSA-N,C16H30O4Si3,[M+H]+,371.15262,0
28,28,3-hydroxybutyric acid,WHBMMWSBFZVSSR-UHFFFAOYSA-N,C10H24O3Si2,[M+H]+,249.13384,0
29,29,pyridoxine,LXNHXLLTXMVWPM-UHFFFAOYSA-N,C17H35N1O3Si3,[M+H]+,386.20007,1
30,30,beta-hydroxymyristic acid,ATRNZOYKSNPPBF-UHFFFAOYSA-N,C20H44O3Si2,[M-H]+,387.27478,0
31,31,(water loss)beta-glycerolphosphate,UOCRSCMEIHYRII-UHFFFAOYSA-N,C12H31Na2O6P1Si3,[M+H]+,371.15225,no correct formula
32,32,(water loss)allantoic acid,NUCLJNSWZCHRKL-UHFFFAOYSA-N,C16H38N4O3Si4,[M+H]+,447.20947,1
33,33,(water loss)p-hydroxylphenyllactic acid,JVGVDSSUAVXRDY-UHFFFAOYSA-N,C15H24O3Si2,[M+H]+,309.13342,0
34,34,succinate semialdehyde,UIUJIQZEACWQSV-UHFFFAOYSA-N,C8H17O3Si1N1,[M+H]+,204.10518,0
35,35,3-phenyllactic acid,VOXXWSYKYCBWHO-UHFFFAOYSA-N,C15H26O3Si2,[M+H]+,311.14923,0
36,36,(water loss)myo-inositol,CDAISMWEOUEBRE-GPIVLXJGSA-N,,[M-H]+,377.26645,no key formula
37,37,(water loss)N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C10H23N1O1Si2,[M]+,229.07373,no correct formula
38,38,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C7H17N1O2Si1,[M+H]+,176.11137,0
39,39,(water loss)p-cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,C10H14Si1,[M+H]+,163.0424,no correct formula
40,40,p-cresol,IWDCLRJOBJJRNH-UHFFFAOYSA-N,C10H16O1Si1,[M+H]+,181.10442,0
41,41,2-hydroxyquinoline,LISFMEBWQUVKPJ-UHFFFAOYSA-N,C12H15N1O1Si1,[M+H]+,218.1571,no correct formula
42,42,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14973,0
43,43,N-ethylglycine,YPIGGYHFMKJNKV-UHFFFAOYSA-N,C10H25N1O2Si2,[M+H]+,248.14964,0
44,44,"2-butyne-1,4-diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,C10H22O2Si2,[M-H]+,229.10764,1
45,45,"2-butyne-1,4-diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,C10H22O2Si2,[M-H]+,229.10741,1
46,46,(water loss)pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C7H10O3,[M]+,142.12202,no correct formula
47,47,"2-butyne-1,4-diol",DLDJFQGPPSQZKI-UHFFFAOYSA-N,C7H14O2Si1,[M+H]+,159.14917,no correct formula
48,48,catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C12H22O2Si2,[M+H]+,255.12283,0
49,49,catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C12H22O2Si2,[M+H]+,255.1227,0
50,50,pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C10H20O4Si1,[M+H]+,233.18654,no correct formula
51,51,(water loss)pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C10H18O3Si1,[M+H]+,215.20065,no correct formula
52,52,phthalic acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C11H14O4Si1,[M+H]+,239.10953,no correct formula
53,53,(water loss)catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C12H20O1Si2,[M+H]+,237.05798,no correct formula
54,54,pimelic acid,WLJVNTCWHIRURA-UHFFFAOYSA-N,C13H28O4Si2,[M+H]+,305.15994,0
55,55,phthalic acid,XNGIFLGASWRNHJ-UHFFFAOYSA-N,C14H22O4Si2,[M+H]+,311.11288,0
56,56,palmitoleic acid,SECPZKHBENQXJG-FPLPWBNLSA-N,C19H38O2Si1,[M+H]+,327.1441,no correct formula
57,57,putrescine,KIDHWZJUCRJVML-UHFFFAOYSA-N,C16H44N2Si4,[M+H]+,377.26504,2
58,58,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,C14H21N1O3Si1,[M+H]+,280.13654,0
59,59,D-(+)-galactose,WQZGKKKJIJFFOK-SVZMEOIVSA-N,C22H55O6Si5N1,[M+H]+,570.29633,no correct formula
60,60,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,C14H21N1O3Si1,[M+H]+,280.13629,0
61,61,N-acetyl-L-phenylalanine,CBQJSKKFNMDLON-JTQLQIEISA-N,C14H21N1O3Si1,[M+H]+,280.13623,0
62,62,palmitoleic acid,SECPZKHBENQXJG-FPLPWBNLSA-N,C19H38O2Si1,[M+H]+,327.27173,2
63,63,1-methyl-L-tryptophan,ZADWXFSZEAPBJS-JTQLQIEISA-N,C18H30N2O2Si2,[M+H]+,363.19214,0
64,64,N-methyladenosine,VQAYFKKCNSOZKM-INWNYVOZSA-N,C23H47N5O4Si4,[M+H]+,570.27765,6
65,65,N-methyladenosine,VQAYFKKCNSOZKM-INWNYVOZSA-N,C23H47N5O4Si4,[M+H]+,570.27728,1
66,66,2-furoic acid,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,C8H12O3Si1,[M+H]+,185.06346,0
67,67,2-furoic acid,SMNDYUVBFMFKNZ-UHFFFAOYSA-N,C8H12O3Si1,[M+H]+,185.06357,0
68,68,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.1579,no correct formula
69,69,"1,4-cyclohexanedione",DCZFGQYXRKMVFG-UHFFFAOYSA-N,C12H24O2Si2,[M+H]+,257.07977,no correct formula
70,70,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.15773,no correct formula
71,71,(water loss)4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C6H9N1O2,[M+H]+,128.03204,no correct formula
72,72,4-methylcatechol,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,C13H24O2Si2,[M+H]+,269.13876,0
73,73,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C12H27N1O3Si2,[M+H]+,290.16089,0
74,74,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.12129,0
75,75,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.12125,0
76,76,4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C9H19N1O3Si1,[M+H]+,218.12131,0
77,77,phosphoenolpyruvic acid,DTBNBXWJWCWCIK-UHFFFAOYSA-N,C12H29O6P1Si3,[M+H]+,385.1091,5
78,78,(water loss)4-acetamidobutyric acid,UZTFMUBKZQVKLK-UHFFFAOYSA-N,C12H25N1O2Si2,[M+H]+,272.11273,no correct formula
79,79,(water loss)4-pyridoxic acid,HXACOUQIXZGNBF-UHFFFAOYSA-N,C11H15N1O3Si1,[M+H]+,238.09006,0
80,80,"2,3-dihydroxybenzoic acid",GLDQAMYCGOIJDV-UHFFFAOYSA-N,C16H30O4Si3,[M+H]+,371.15332,0
81,81,N-benzyloxycarbonylglycine,CJUMAFVKTCBCJK-UHFFFAOYSA-N,C16H27N1O4Si2,[M+H]+,354.15558,0
82,82,mono(2-ethylhexyl)phthalate,DJDSLBVSSOQSLW-UHFFFAOYSA-N,C19H30O4Si1,[M+H]+,351.19962,0
83,83,stearic acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,C21H44O2Si1,[M+H]+,357.31863,1
84,84,stearic acid,QIQXTHQIDYTFRH-UHFFFAOYSA-N,C21H44O2Si1,[M-H]+,355.30362,0
85,85,N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C7H17N1O2Si1,[M+H]+,176.11105,0
86,86,(water loss)N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C10H23N1O1Si2,[M+H]+,230.08205,no correct formula
87,87,N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C10H25N1O2Si2,[M+H]+,248.14984,0
88,88,(water loss)N-methyl-L-alanine,GDFAOVXKHJXLEI-VKHMYHEASA-N,C7H15N1O1Si1,[M-H]+,156.10184,no correct formula
89,89,benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N,C10H14O2Si1,[M+H]+,195.08395,0
90,90,(water loss)4-acetylbutyric acid,MGTZCLMLSSAXLD-UHFFFAOYSA-N,C10H19O2Si1N1,[M+H]+,214.162,no correct formula
91,91,4-acetylbutyric acid,MGTZCLMLSSAXLD-UHFFFAOYSA-N,C10H21O3Si1N1,[M+H]+,232.13687,0
92,92,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C12H10O1,[M-H]+,169.05846,no correct formula
93,93,(water loss)pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C12H20O2Si2,[M+H]+,253.12538,no correct formula
94,94,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C12H10O1,[M+H]+,171.09378,no correct formula
95,95,pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C15H30O3Si3,[M+H]+,343.15683,0
96,96,2-hydroxybiphenyl,LLEMOWNGBBNAJR-UHFFFAOYSA-N,C15H18O1Si1,[M+H]+,243.12024,0
97,97,D-threitol,UNXHWFMMPAWVPI-QWWZWVQMSA-N,C4H10O4,[M+H]+,123.11695,no correct formula
98,98,orotic acid,PXQPEWDEAKTCGB-UHFFFAOYSA-N,C14H28N2O4Si3,[M+H]+,373.14334,1
99,99,(water loss)D-sorbitol,FBPFZTCFMRRESA-JGWLITMVSA-N,C21H52O5Si5,[M+H]+,525.27502,no correct formula
100,100,palmitic acid,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C19H40O2Si1,[M-H]+,327.27185,0
101,101,(water loss)2-keto-L-gulonic acid,VBUYCZFBVCCYFD-NUNKFHFFSA-N,C12H24O6Si2,[M+H]+,321.17355,no correct formula
102,102,inosine,UGQMRVRMYYASKQ-KQYNXXCUSA-N,C22H44N4O5Si4,[M+H]+,557.24713,7
103,103,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C9H21N1O2Si1,[M+H]+,204.14178,0
104,104,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C4H12N2O1Si1,[M+H]+,133.07942,0
105,105,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C9H21N1O2Si1,[M+H]+,204.14182,0
106,106,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C7H20N2O1Si2,[M+H]+,205.1189,2
107,107,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C7H20N2O1Si2,[M+H]+,205.11897,0
108,108,pyrrole-2-carboxylic acid,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,C8H13N1O2Si1,[M+H]+,184.07902,0
109,109,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C7H20N2O1Si2,[M+H]+,205.11902,0
110,110,urea,XSQUKJJJFZCRTK-UHFFFAOYSA-N,C7H20N2O1Si2,[M+H]+,205.11887,0
111,111,L-norleucine,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,C12H29N1O2Si2,[M+H]+,276.18124,0
112,112,pyrrole-2-carboxylic acid,WRHZVMBBRYBTKZ-UHFFFAOYSA-N,C11H21N1O2Si2,[M+H]+,256.11841,0
113,113,3-hydroxyphenylacetic acid,FVMDYYGIDFPZAX-UHFFFAOYSA-N,C11H16O3Si1,[M+H]+,225.12116,no correct formula
114,114,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C11H17O2Si1N1,[M+H]+,224.11028,0
115,115,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C11H17O2Si1N1,[M+H]+,224.11015,0
116,116,4-hydroxybenzaldehyde,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C11H17O2Si1N1,[M+H]+,224.11003,0
117,117,2-hydroxycinnamic acid,PMOWTIHVNWZYFI-AATRIKPKSA-N,C15H24O3Si2,[M+H]+,309.13376,0
118,118,carbazole,UJOBWOGCFQCDNV-UHFFFAOYSA-N,C15H17N1Si1,[M+H]+,240.12021,1
119,119,2'-deoxyguanosine,YKBGVTZYEHREMT-KVQBGUIXSA-N,C19H37N5O4Si3,[M+H]+,484.22284,4
120,120,2'-deoxyguanosine,YKBGVTZYEHREMT-KVQBGUIXSA-N,C22H45N5O4Si4,[M+H]+,556.26263,6
121,121,(water loss)DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C7H15O2Si1N1,[M-H]+,172.15196,nan
122,122,(water loss)citraconic acid,HNEGQIOMVPPMNR-IHWYPQMZSA-N,C5H4O3,[M-H]+,111.11646,no correct formula
123,123,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11844,0
124,124,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11818,0
125,125,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.11845,0
126,126,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C6H14O3Si1,[M+H]+,163.04237,no correct formula
127,127,lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H22O3Si2,[M+H]+,235.08212,no correct formula
128,128,"(water loss)cis-1,2-cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,C12H26O1Si2,[M+H]+,243.0542,no correct formula
129,129,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M-H]+,262.12909,0
130,130,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M-H]+,262.12848,0
131,131,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M+H]+,264.14423,0
132,132,(water loss)lactic acid,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,C9H20O2Si2,[M+H]+,217.08913,no correct formula
133,133,"cis-1,2-cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,C9H20O2Si1,[M-H]+,187.16992,nan
134,134,DL-glyceraldehyde,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C10H25O3Si2N1,[M+H]+,264.10852,no correct formula
135,135,(water loss)adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C9H16O3Si1,[M+H]+,201.05806,no correct formula
136,136,"cis-1,2-cyclohexanediol",PFURGBBHAOXLIO-OLQVQODUSA-N,C12H28O2Si2,[M-H]+,259.15454,0
137,137,(water loss)adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C9H16O3Si1,[M+H]+,201.09418,0
138,138,6-hydroxycaproic acid,IWHLYPDWHHPVAA-UHFFFAOYSA-N,C12H28O3Si2,[M+H]+,277.16489,0
139,139,adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C12H26O4Si2,[M+H]+,291.14444,1
140,140,adipic acid,WNLRTRBMVRJNCN-UHFFFAOYSA-N,C12H26O4Si2,[M+H]+,291.14456,0
141,141,cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C12H16O2Si1,[M+H]+,221.09949,0
142,142,cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C12H16O2Si1,[M+H]+,221.09952,0
143,143,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,C13H22O3Si2,[M+H]+,283.11832,0
144,144,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C8H13N5Si1,[M+H]+,208.10136,0
145,145,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C8H13N5Si1,[M+H]+,208.10141,0
146,146,(water loss)cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C9H6O1,[M-H]+,129.03673,no correct formula
147,147,3-phosphoglyceric acid,OSJPPGNTCRNQQC-UHFFFAOYSA-N,C15H39O7P1Si4,[M+H]+,475.15921,no correct formula
148,148,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C11H21N5Si2,[M+H]+,280.14084,0
149,149,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C11H21N5Si2,[M+H]+,280.14078,0
150,150,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C11H21N5Si2,[M+H]+,280.14081,0
151,151,adenine,GFFGJBXGBJISGV-UHFFFAOYSA-N,C11H21N5Si2,[M+H]+,280.1409,0
152,152,4-hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N,C10H14O3Si1,[M+H]+,211.08986,no correct formula
153,153,urocanic acid,LOIYMIARKYCTBW-OWOJBTEDSA-N,C12H22N2O2Si2,[M+H]+,283.12952,0
154,154,xanthotoxin,QXKHYNVANLEOEG-UHFFFAOYSA-N,C12H8O4,[M+H]+,217.04994,0
155,155,5-methoxy-3-indoleacetic acid,COCNDHOPIHDTHK-UHFFFAOYSA-N,C14H19N1O3Si1,[M+H]+,278.12036,0
156,156,5-methoxy-3-indoleacetic acid,COCNDHOPIHDTHK-UHFFFAOYSA-N,C17H27N1O3Si2,[M+H]+,350.16019,0
157,157,melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,C16H24N2O2Si1,[M+H]+,305.16812,0
158,158,melatonin,DRLFMBDRBRZALE-UHFFFAOYSA-N,C16H24N2O2Si1,[M+H]+,305.16809,0
159,159,(water loss)cortisone,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,C21H26O4,[M+H]+,343.20233,no correct formula
160,160,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C8H20O3Si2,[M+H]+,221.1024,1
161,161,mandelonitrile,NNICRUQPODTGRU-UHFFFAOYSA-N,C11H15N1O1Si1,[M+H]+,206.10271,no correct formula
162,162,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C8H20O3Si2,[M+H]+,221.10268,0
163,163,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C5H12O3Si1,[M]+,148.06694,no correct formula
164,164,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C8H20O3Si2,[M+H]+,221.10265,0
165,165,glycolic acid,AEMRFAOFKBGASW-UHFFFAOYSA-N,C8H20O3Si2,[M+H]+,221.10281,0
166,166,10-hydroxydecanoic acid,YJCJVMMDTBEITC-UHFFFAOYSA-N,C16H36O3Si2,[M+H]+,333.11884,no correct formula
167,167,10-hydroxydecanoic acid,YJCJVMMDTBEITC-UHFFFAOYSA-N,C16H36O3Si2,[M+H]+,333.1182,no correct formula
168,168,(water loss)5-aminoimidazole-4-carboxamide,DVNYTAVYBRSTGK-UHFFFAOYSA-N,C13H28N4Si3,[M+H]+,325.16937,4
169,169,(water loss)3-(3-hydroxyphenyl)propionic acid,QVWAEZJXDYOKEH-UHFFFAOYSA-N,C12H16O2Si1,[M+H]+,221.09953,1
170,170,trans-aconitic acid,GTZCVFVGUGFEME-HNQUOIGGSA-N,C15H30O6Si3,[M+H]+,391.14197,2
171,171,5-aminoimidazole-4-carboxamide,DVNYTAVYBRSTGK-UHFFFAOYSA-N,C13H30N4O1Si3,[M+H]+,343.1796,1
172,172,quinic acid,AAWZDTNXLSGCEK-LNVDRNJUSA-N,C22H52O6Si5,[M+H]+,553.26752,no correct formula
173,173,caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,C18H32O4Si3,[M+H]+,397.16812,1
174,174,N-acetyl-5-hydroxytryptamine,MVAWJSIDNICKHF-UHFFFAOYSA-N,C18H30N2O2Si2,[M+H]+,363.19192,0
175,175,N-acetyl-5-hydroxytryptamine,MVAWJSIDNICKHF-UHFFFAOYSA-N,C15H22N2O2Si1,[M+H]+,291.15244,0
176,176,2'-deoxyadenosine,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C16H29N5O3Si2,[M+H]+,396.18872,0
177,177,2'-deoxyadenosine,OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C19H37N5O3Si3,[M+H]+,468.22821,no correct formula
178,178,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C7H15N1O2Si1,[M-H]+,172.15199,nan
179,179,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C7H15N1O2Si1,[M-H]+,172.15219,nan
180,180,2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C7H16O3Si1,[M+H]+,177.05812,no correct formula
181,181,(water loss)4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,C9H13N1Si1,[M+H]+,164.07428,no correct formula
182,182,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C7H15N1O2Si1,[M+H]+,174.09512,0
183,183,2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C10H24O3Si2,[M+H]+,249.13425,0
184,184,(water loss)glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C6H14O2Si1,[M-H]+,145.04962,no correct formula
185,185,2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C10H24O3Si2,[M+H]+,249.13422,0
186,186,2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C10H24O3Si2,[M+H]+,249.13431,0
187,187,(water loss)2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C7H14O2Si1,[M+H]+,159.13835,no correct formula
188,188,(water loss)4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,C12H21N1Si2,[M+H]+,236.11385,no correct formula
189,189,1-aminocyclopropane-1-carboxylic acid,PAJPWUMXBYXFCZ-UHFFFAOYSA-N,C10H23N1O2Si2,[M+H]+,246.13469,0
190,190,glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C12H32O3Si3,[M+H]+,309.17352,3
191,191,glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C12H32O3Si3,[M-H]+,307.15823,no correct formula
192,192,glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C12H32O3Si3,[M-H]+,307.12122,no correct formula
193,193,(water loss)2-hydroxybutyric acid,AFENDNXGAFYKQO-UHFFFAOYSA-N,C7H14O2Si1,[M+H]+,159.14961,no correct formula
194,194,glycerol,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C6H16O3Si1,[M+H]+,165.0551,no correct formula
195,195,L-methionine sulfoxide,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,C8H19N1O3S1Si1,[M+H]+,238.1264,no correct formula
196,196,(water loss)indole-3-carbinol,IVYPNXXAYMYVSP-UHFFFAOYSA-N,C15H23N1Si2,[M+H]+,274.1294,no correct formula
197,197,4-aminophenol,PLIKAWJENQZMHA-UHFFFAOYSA-N,C12H23N1O1Si2,[M+H]+,254.13911,0
198,198,2-carboxybenzaldehyde,DYNFCHNNOHNJFG-UHFFFAOYSA-N,C12H17O3Si1N1,[M+H]+,252.10527,0
199,199,2-carboxybenzaldehyde,DYNFCHNNOHNJFG-UHFFFAOYSA-N,C12H17O3Si1N1,[M+H]+,252.10545,0
200,200,2-carboxybenzaldehyde,DYNFCHNNOHNJFG-UHFFFAOYSA-N,C12H17O3Si1N1,[M+H]+,252.10539,0
201,201,(water loss)2-hydroxyacetophenone,ZWVHTXAYIKBMEE-UHFFFAOYSA-N,C8H6O1,[M-H]+,117.07308,no correct formula
