mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
3,ophthalmic acid,289.1273853,18.27,5,,JCMUOFQHZLPHQP-BQBZGAKWSA-N
3,2-stearoylglycerol,358.3083098,20.24,2,,VBICKXHEKHSIBG-UHFFFAOYSA-N
4,lactamide,89.04767847,7.4,2,,SXQFCVDSOLSHOQ-UHFFFAOYSA-N
4,TRIS 1,121.0738932,11.4,3,,LENZDBCJOHFCAS-UHFFFAOYSA-N
4,biuret,103.0381764,13.25,3,,OHJMTUPIZMNBFR-UHFFFAOYSA-N
4,ribonic acid,166.047738,13.75,5,,QXKAIJAYHKCRRA-YVZJFKFKSA-N
4,lipoic acid,206.043522,15.35,1,,AGBQKNBQESQNJD-SSDOTTSWSA-N
4,"2,6-diaminopimelic acid",190.0953569,14.53,4,,GMKMEZVLHJARHF-WHFBIAKZSA-N
4,isoxanthopterin,179.0443244,16.55,3,,GLKCOBIIZKYKFN-UHFFFAOYSA-N
4,cytidine-5-monophosphate,323.0518514,18.42,5,,INTPYBRGLGSMRA-UHFFFAOYSA-L
4,squalene,410.3912516,20.72,,,YYGNTYWPHWGJRM-AAJYLUCBSA-N
5,piperidone,99.06841391,7.59,1,,XUWHAWMETYGRKB-UHFFFAOYSA-N
5,pipecolic acid,129.0789786,10.02,2,,HXEACLLIILLPRG-YFKPBYRVSA-N
5,methylparaben,152.0473441,11.44,1,,LXCFILQKKLGQFO-UHFFFAOYSA-N
5,arabitol,152.0684735,13.28,5,,HEBKCHPVOIAQTA-IMJSIDKUSA-N
5,dopamine,153.0789786,13.8,4,,VYFYYTLLBUKUHU-UHFFFAOYSA-N
5,indole-3-acetate,175.0633285,15.38,2,,SEOVTRFCIGRIMH-UHFFFAOYSA-N
5,"3,4-dihydroxycinnamic acid",180.0422587,16.57,3,,QAIPRVGONGVQAS-DUXPYHPUSA-N
6,o-cresol,108.0575149,7.6,1,,QWVGKYWNOKOFNN-UHFFFAOYSA-N
6,mevalonolactone,130.0629942,10.2,1,,JYVXNLLUYHCIIH-UHFFFAOYSA-N
6,5-hydroxymethyl-2-furoic acid,142.0266087,11.86,2,,PCSKKIUURRTAEM-UHFFFAOYSA-N
6,lyxitol,152.0684735,13.29,5,,HEBKCHPVOIAQTA-IMJSIDKUSA-N
6,gentisic acid,154.0266087,13.82,3,,WXTMDXOMEHJXQO-UHFFFAOYSA-N
6,caffeine,194.0803756,14.69,,,RYYVLZVUVIJVGH-UHFFFAOYSA-N
6,glycyl proline,172.0847923,15.5,2,,KZNQNBZMBZJQJO-YFKPBYRVSA-N
6,octadecanol,270.2922658,16.69,1,,GLDOVTGHNKAZLK-UHFFFAOYSA-N
6,isomaltose 1,342.1162115,20.85,8,1,DLRVVLDZNNYCBX-RTPHMHGBSA-N
6,isomaltose 2,342.1162115,20.85,8,1,DLRVVLDZNNYCBX-RTPHMHGBSA-N
7,3-hydroxybutyric acid,104.0473441,7.65,2,,WHBMMWSBFZVSSR-UHFFFAOYSA-N
7,L-homocysteine,135.0353997,11.89,3,,FFFHZYDWPBMWHY-UHFFFAOYSA-N
7,glyceraldehyde-3-phosphate,169.9980249,13.3,3,1,LXJXRIRHZLFYRP-UHFFFAOYSA-N
7,azelaic acid,188.104859,13.99,2,,BDJRBEYXGGNYIS-UHFFFAOYSA-N
7,pyridoxine,169.0738932,14.8,3,,LXNHXLLTXMVWPM-UHFFFAOYSA-N
7,beta-hydroxymyristic acid,244.2038448,15.72,2,,ATRNZOYKSNPPBF-UHFFFAOYSA-N
7,indole-3-lactate,205.0738932,16.86,3,,XGILAAMKEQUXLS-UHFFFAOYSA-N
7,5-methyluridine,258.0851862,18.89,4,,DWRXFEITVBNRMK-JXOAFFINSA-N
7,melibiose,342.1162115,20.94,8,1,DLRVVLDZNNYCBX-ABXHMFFYSA-N
7,maltotriose,504.1690349,24.31,11,1,FYGDTMLNYKFZSV-DZOUCCHMSA-N
8,glycocyamine,117.0538265,12.11,3,,BPMFZUMJYQTVII-UHFFFAOYSA-N
8,beta-glycerolphosphate,172.013675,13.31,3,,UOCRSCMEIHYRII-UHFFFAOYSA-N
8,"3,4-dihydroxybenzoic acid",154.0266087,14.17,3,,YQUVCSBJEUQKSH-UHFFFAOYSA-N
8,p-hydroxylphenyllactic acid,182.0579088,14.8,3,,JVGVDSSUAVXRDY-UHFFFAOYSA-N
8,allantoic acid,176.0545548,16.09,5,,NUCLJNSWZCHRKL-UHFFFAOYSA-N
8,arbutin,272.0896029,19.19,5,,BJRNKVDFDLYUGJ-RMPHRYRLSA-N
8,sucrose-6-phosphate 1,422.0825424,21.52,9,,LGSUELAEGXGVNG-UHFFFAOYSA-N
8,sucrose-6-phosphate 2,422.0825424,21.52,9,,LGSUELAEGXGVNG-UHFFFAOYSA-N
8,trehalose-6-phosphate,422.0825424,22.44,9,,OKKJLVBELUTLKV-UHFFFAOYSA-N
8,trehalose-6-phosphate,422.0825424,22.44,9,,OKKJLVBELUTLKV-UHFFFAOYSA-N
9,succinate semialdehyde,102.023869,8,1,1,UIUJIQZEACWQSV-UHFFFAOYSA-N
9,3-phenyllactic acid,166.0629942,12.21,2,,VOXXWSYKYCBWHO-UHFFFAOYSA-N
9,agmatine,130.1218465,13.55,6,,QYPPJABKJHAVHS-UHFFFAOYSA-N
9,pinitol,194.0790382,14.26,5,,DSCFFEYYQKSRSV-KLJZZCKASA-N
9,myo-inositol,180.0633881,16.24,6,,CDAISMWEOUEBRE-GPIVLXJGSA-N
9,tocopherol beta,416.3654308,21.56,1,,VLKZOEOYAKHREP-UHFFFAOYSA-N
