mix,Metabolite Name,MW,Estimated RT,TMS,MeOx,InChIKey
3,3-ureidopropionate,132.0534921,15.35,2,,JSJWCHRYRHKBBW-UHFFFAOYSA-N
3,dehydroascorbic acid,174.0164379,,,,SBJKKFFYIZUCET-JLAZNSOCSA-N
3,guanidinosuccinate,175.0593058,,,,VVHOUVWJCQOYGG-REOHCLBHSA-N
3,pyridoxal-5-phosphate,247.024574,,3,1,NGVDGCNFYWLIFO-UHFFFAOYSA-N
3,1-monoolein,356.2926598,25.346,2,,RZRNAYUHWVFMIP-KTKRTIGZSA-N
3,ergosterol,396.65,28.588,1,,BTCAEOLDEYPGGE-LPWCLQGBSA-N
4,phenol,94.04186481,7.496,1,,ISWSIDIOOBJBQZ-UHFFFAOYSA-N
4,butyrolactam,85.05276385,9.195,1,,HNJBEVLQSNELDL-UHFFFAOYSA-N
4,N-acetylglycine,117.0425931,,1,,OKJIRPAQVSHGFK-UHFFFAOYSA-N
4,phenylethylamine,121.0891494,,2,,BHHGXPLMPWCGHP-UHFFFAOYSA-N
4,glucuronic acid,194.0426527,,4,1,IAJILQKETJEXLJ-QTBDOELSSA-N
4,conduritol-beta-expoxide,446.1796218,,,,
4,EDTA,292.0906655,,4,,KCXVZYZYPLLWCC-UHFFFAOYSA-N
4,sophorose,342.1162115,,8,1,PZDOWFGHCNHPQD-VNNZMYODSA-N
4,lithocholic acid,376.2977451,,2,,SMEROWZSTRWXGI-HVATVPOCSA-N
4,deoxycholic acid,#N/A,,2,,FHHPUSMSKHSNKW-SMOYURAASA-M
5,2-ketobutyric acid,102.031694,7.812,1,1,TYEYBOSBBBHJIV-UHFFFAOYSA-N
5,2-aminobutyric acid,103.0633285,9.049,2,,QWCKQJZIFLGMSD-VKHMYHEASA-N
5,Nicotinic acid,123.0320284,10.734,1,,PVNIIMVLHYAWGP-UHFFFAOYSA-N
5,phenylpyruvate,164.0473441,,1,1,BTNMPGBKDVTSJY-UHFFFAOYSA-N
5,N-acetylputrescine,130.1106131,16.243,2,,KLZGKIDSEJWEDW-UHFFFAOYSA-N
5,tryptophol,161.084064,17.782,2,,MBBOMCVGYCRMEA-UHFFFAOYSA-N
5,cis-sinapinic acid,224.0684735,19.345,2,,PCMORTLOPMLEFB-ONEGZZNKSA-N
5,salicin,286.1052529,23.295,5,,NGFMICBWJRZIBI-UJPOAAIJSA-N
5,epicatechin,290.0790382,25.902,5,,PFTAWBLQPZVEMU-UKRRQHHQSA-N
5,chenodeoxycholic acid,392.2926598,29.085,3,,RUDATBOHQWOJDD-BSWAIDMHSA-N
5,mandelic acid,152.1473,12.989,2,,
6,cyclohexylamine,99.10479942,7.302,1,,PAFZNILMFXTMIY-UHFFFAOYSA-N
6,2-hydroxyvaleric acid,118.0629942,9.428,2,,JRHWHSJDIILJAT-UHFFFAOYSA-N
6,3-(1-methyl-2-pyrrolidinyl)-pyridine,162.1156985,11.568,,,SNICXCGAKADSCV-JTQLQIEISA-N
6,"1,2,4-benzenetriol",126.031694,,3,,GGNQRNBDZQJCCN-UHFFFAOYSA-N
6,acetaminophen (2 TMS),151.0633285,14.871,2,,RZVAJINKPMORJF-UHFFFAOYSA-N
6,acetaminophen (1 TMS),151.0633285,16.347,1,,RZVAJINKPMORJF-UHFFFAOYSA-N
6,gulonolactone,178.047738,18.029,4,,SXZYCXMUPBBULW-SKNVOMKLSA-N
6,N-acetylmannosamine,221.0899372,19.532,4,1,OVRNDRQMDRJTHS-ZTVVOAFPSA-N
6,2-monopalmitin,330.2770097,23.913,2,,BBNYCLAREVXOSG-UHFFFAOYSA-N
6,galactinol,342.1162115,26.759,9,,HGCURVXTXVAIIR-ITYUJIADSA-N
6,melezitose,1283.50208,,11,,QWIZNVHXZXRPDR-WSCXOGSTSA-N
7,dimethylglycine,103.0633285,7.007,1,,FFDGPVCHZBVARC-UHFFFAOYSA-N
7,2-hydroxybutanoic acid 1,#N/A,8.201,2,,AFENDNXGAFYKQO-UHFFFAOYSA-N
7,2-hydroxybutanoic acid 2,#N/A,8.506,2,,AFENDNXGAFYKQO-UHFFFAOYSA-N
7,aniline,93.05784923,,1,,PAYRUJLWNCNPSJ-UHFFFAOYSA-N
7,O-acetylserine,147.0531578,11.929,2,,VZXPDPZARILFQX-BYPYZUCNSA-N
7,dithiothreitol,154.0122219,14.43,4,,VHJLVAABSRFDPM-IMJSIDKUSA-N
7,deoxyglucose,164.0684735,,4,1,PMMURAAUARKVCB-CERMHHMHSA-N
7,gallic acid,#N/A,18.384,4,,LNTHITQWFMADLM-UHFFFAOYSA-N
7,xanthurenic acid,205.0375077,,3,,FBZONXHGGPHHIY-UHFFFAOYSA-N
7,1-monopalmitin,330.2770097,21.183,2,,PVNIQBQSYATKKL-UHFFFAOYSA-N
7,2-deoxyadenosine-5-monophosphate,331.0681702,,,,KHWCHTKSEGGWEX-RRKCRQDMSA-N
